id,location_cd,status_cd,type_id,street_address1,street_address2,city,postal_cd,created_user_id,created_datetime,updated_user_id,updated_datetime,region_id,latitude,longitude,time_zone,temperature_scale,country_part,country_cd
100013,0013,A,170,169 NORTH FRONT STREET,NULL,BELLEVILLE,K8P 3B7,1,2018-07-13 12:09:14.400,1598866,2018-07-13 12:09:14.000,NULL,44.177655,-77.390630,America/Toronto,C,544,CA
100014,0014,A,170,525 WELLAND AVE,NULL,ST CATHARINES,L2M 6P3,1,2018-06-05 04:25:47.520,1598866,2018-06-05 04:25:47.000,NULL,43.175483,-79.214537,America/Toronto,C,544,CA
100015,0015,A,165,681 PRINCESS STREET,NULL,KINGSTON,K7L 1E8,1,2018-07-13 10:02:11.087,1598866,2018-07-13 10:02:11.000,NULL,44.238921,-76.505602,America/Toronto,C,544,CA
100016,0016,A,165,675 MOHAWK ROAD EAST,NULL,HAMILTON,L8V 2K6,1,2018-07-03 15:24:48.500,1598866,2018-07-03 15:24:49.000,NULL,43.219693,-79.843921,America/Toronto,C,544,CA
100018,0018,A,170,942 DUNDAS STREET,NULL,WOODSTOCK,N4S 1H3,1,2018-07-11 19:19:09.793,1598866,2018-07-11 19:19:10.000,NULL,43.133185,-80.733011,America/Toronto,C,544,CA
100019,0019,A,165,1554 MAIN ST WEST,NULL,HAMILTON,L8S 1E5,1,2018-07-14 14:36:55.597,1598866,2018-07-14 14:36:56.000,NULL,43.257929,-79.925562,America/Toronto,C,544,CA
100020,0020,A,170,853 THE QUEENSWAY,NULL,ETOBICOKE,M8Z 1N6,1,2018-06-28 03:02:38.483,1598866,2018-06-28 03:02:38.000,NULL,43.624590,-79.509589,America/Toronto,C,544,CA
100023,0023,A,235,"25 THE WEST MALL UNIT F0001, SHERWAY GDNS",NULL,ETOBICOKE,M9C 1B8,1,2018-07-07 11:55:13.670,1598866,2018-07-07 11:55:14.000,NULL,43.613095,-79.558825,America/Toronto,C,544,CA
100024,0024,A,170,2075 SHEPPARD AVE E,NULL,NORTH YORK,M2J 1W6,1,2018-07-08 14:08:10.630,1598866,2018-07-08 14:08:11.000,NULL,43.775116,-79.334145,America/Toronto,C,544,CA
100025,0025,A,170,333 ONTARIO STREET,NULL,ST CATHARINES,L2R 5L3,1,2018-06-28 11:36:49.150,1598866,2018-06-28 11:36:49.000,NULL,43.171098,-79.265514,America/Toronto,C,544,CA
100026,0026,A,175,77 WILLIAM STREET,NULL,BROCKVILLE,K6V 4V7,1,2018-07-04 20:13:39.910,1598866,2018-07-04 20:13:40.000,NULL,44.593295,-75.688346,America/Toronto,C,544,CA
100027,0027,A,225,"41 FESTUBERT WAY, CFB PETAWAWA, UNIT 103",NULL,PETAWAWA,K8H 1N3,1,2018-06-13 21:20:15.110,1598866,2018-06-13 21:20:15.000,NULL,45.913342,-77.278370,America/Toronto,C,544,CA
100030,0030,A,170,"4725 DORCHESTER RD, UNIT C",NULL,NIAGARA FALLS,L2E 0A8,1,2018-06-05 04:25:51.663,1598866,2018-06-05 04:25:51.000,NULL,43.104476,-79.112054,America/Toronto,C,544,CA
100031,0031,A,170,25 COLBORNE STREET,NULL,ORILLIA,L3V 1T4,1,2018-06-06 04:33:22.287,1598866,2018-06-06 04:33:22.000,NULL,44.607019,-79.417586,America/Toronto,C,544,CA
100032,0032,A,170,1373 MARTINDALE ROAD,NULL,SUDBURY,P3E 4J7,1,2018-07-05 16:54:34.077,1598866,2018-07-05 16:54:34.000,NULL,46.463998,-81.009654,America/Toronto,C,544,CA
100033,0033,A,170,1050 CASSELLS STREET,NULL,NORTH BAY,P1B 4A9,1,2018-06-06 04:33:23.013,1598866,2018-06-06 04:33:23.000,NULL,46.317096,-79.458513,America/Toronto,C,544,CA
100034,0034,A,175,141 GARRISON ROAD,NULL,FORT ERIE,L2A 1M3,1,2018-06-17 17:08:58.340,1598866,2018-06-17 17:08:58.000,NULL,42.906058,-78.918265,America/Toronto,C,544,CA
100035,0035,A,170,119 OXFORD STREET,NULL,LONDON,N6A 1T2,1,2018-06-05 04:25:55.700,1598866,2018-06-05 04:25:56.000,NULL,42.993818,-81.257931,America/Toronto,C,544,CA
100036,0036,A,170,354 BAYFIELD STREET,NULL,BARRIE,L4M 3C4,1,2018-07-01 16:33:10.010,1598866,2018-07-01 16:33:10.000,NULL,44.403867,-79.703908,America/Toronto,C,544,CA
100037,0037,A,175,648 COLBORNE STREET,NULL,BRANTFORD,N3S 3P8,1,2018-06-15 14:00:33.320,1598866,2018-06-15 14:00:33.000,NULL,43.141156,-80.239169,America/Toronto,C,544,CA
100038,0038,A,170,38 YORK ROAD,NULL,DUNDAS,L9H 1L4,1,2018-06-26 11:44:38.770,1598866,2018-06-26 11:44:39.000,NULL,43.265900,-79.949537,America/Toronto,C,544,CA
100039,0039,A,170,30 QUEENSTON ROAD,NULL,HAMILTON,L8K 1E8,1,2018-07-03 12:38:16.253,1598866,2018-07-03 12:38:16.000,NULL,43.236301,-79.800921,America/Toronto,C,544,CA
100041,0041,A,235,"963 CENTRAL AVE, GREENWOOD MALL",NULL,GREENWOOD,B0P 1N0,1,2018-07-06 22:20:58.673,1598866,2018-07-06 22:20:59.000,NULL,44.968384,-64.926328,America/Halifax,C,541,CA
100043,0043,A,170,1166 MOUNTAIN ROAD,NULL,MONCTON,E1C 2T5,1,2018-07-03 04:36:16.177,1598866,2018-07-03 04:36:16.000,NULL,46.106572,-64.824630,America/Moncton,C,539,CA
100045,0045,A,170,368 ST CLAIR STREET,NULL,CHATHAM,N7L 3K2,1,2018-07-11 10:16:31.930,1598866,2018-07-11 10:16:32.000,NULL,42.414090,-82.199522,America/Toronto,C,544,CA
100046,0046,A,170,2294 KINGSTON ROAD,NULL,SCARBOROUGH,M1N 1T9,1,2018-07-13 19:18:21.410,1598866,2018-07-13 19:18:21.000,NULL,43.705852,-79.251995,America/Toronto,C,544,CA
100047,0047,A,170,705 WELLINGTON RD,NULL,LONDON,N6C 4R4,1,2018-06-18 13:35:54.990,1598866,2018-06-18 13:35:55.000,NULL,42.948104,-81.228083,America/Toronto,C,544,CA
100049,0049,A,165,"11312 109TH STREET NW, BEST WESTERN",NULL,EDMONTON,T5G 2T7,1,2018-06-29 04:35:42.170,1598866,2018-06-29 04:35:42.000,NULL,53.563190,-113.508979,America/Edmonton,C,536,CA
100050,0050,A,170,995 TALBOT STREET E,NULL,ST THOMAS,N5P 1G1,1,2018-06-28 11:15:03.293,1598866,2018-06-28 11:15:03.000,NULL,42.778828,-81.176593,America/Toronto,C,544,CA
100052,0052,A,170,282 RIDGEWAY ROAD,NULL,CRYSTAL BEACH,L0S 1B0,1,2018-06-05 04:26:06.790,1598866,2018-06-05 04:26:07.000,NULL,42.867928,-79.058505,America/Toronto,C,544,CA
100053,0053,A,170,154 OSBORNE ST,NULL,HALIFAX,B3N 3J6,1,2018-07-03 04:36:16.870,1598866,2018-07-03 04:36:17.000,NULL,44.631138,-63.631851,America/Halifax,C,541,CA
100056,0056,A,165,2842 BARTON STE,NULL,HAMILTON,L8E 2K1,1,2018-07-09 10:13:12.740,1598866,2018-07-09 10:13:12.000,NULL,43.232166,-79.739906,America/Toronto,C,544,CA
100058,0058,A,170,435 UNIVERSITY AVE,NULL,CHARLOTTETOWN,C1A 4N7,1,2018-07-03 04:36:18.143,1598866,2018-07-03 04:36:18.000,NULL,46.248289,-63.136761,America/Halifax,C,545,CA
100059,0059,A,170,145 HARTZEL RD,NULL,ST CATHARINES,L2P 1N6,1,2018-06-14 19:44:15.243,1598866,2018-06-14 19:44:15.000,NULL,43.149790,-79.215150,America/Toronto,C,544,CA
100060,0060,A,170,429 MAIN STW,NULL,PORT COLBORNE,L3K 3W2,1,2018-07-03 02:41:46.613,1598866,2018-07-03 02:41:46.000,NULL,42.899175,-79.258568,America/Toronto,C,544,CA
100062,0062,A,170,425 HESPELER ROAD,NULL,CAMBRIDGE,N1R 6J2,1,2018-06-27 09:43:55.263,1598866,2018-06-27 09:43:55.000,NULL,43.395733,-80.323941,America/Toronto,C,544,CA
100063,0063,A,170,957 10TH ST W,NULL,OWEN SOUND,N4K 3H8,1,2018-06-05 04:26:11.370,1598866,2018-06-05 04:26:11.000,NULL,44.562019,-80.964918,America/Toronto,C,544,CA
100064,0064,A,170,275 TECUMSEH BLVD W,NULL,WINDSOR,N8X 1X2,1,2018-06-18 17:04:20.740,1598866,2018-06-18 17:04:21.000,NULL,42.295667,-83.028087,America/Toronto,C,544,CA
100065,0065,A,175,84 MAIN ST,NULL,DARTMOUTH,B2X 1R5,1,2018-07-11 19:43:57.107,1598866,2018-07-11 19:43:57.000,NULL,44.681166,-63.543216,America/Halifax,C,541,CA
100066,0066,A,145,503 MAIN ST E,NULL,HAMILTON,L8N 1K8,1,2018-07-14 01:56:25.483,1598866,2018-07-14 01:56:25.000,NULL,43.250522,-79.849945,America/Toronto,C,544,CA
100069,0069,A,170,"447 ROTHSAY AVE, PO BOX 52",NULL,SAINT JOHN,E2J 2C3,1,2018-07-03 04:36:19.570,1598866,2018-07-03 04:36:20.000,NULL,45.306826,-66.032064,America/Moncton,C,539,CA
100070,0070,A,175,"15 QUEENSWAY E, UNIT 3",NULL,SIMCOE,N3Y 4Y2,1,2018-07-04 14:22:50.043,1598866,2018-07-04 14:22:50.000,NULL,42.846940,-80.305633,America/Toronto,C,544,CA
100071,0071,A,170,236 ROBIE ST,NULL,TRURO,B2N 1L1,1,2018-07-07 15:07:54.253,1598866,2018-07-07 15:07:54.000,NULL,45.369172,-63.302153,America/Halifax,C,541,CA
100073,0073,A,170,3090 TECUMSEH RD E,NULL,WINDSOR,N8W 1G7,1,2018-06-05 04:26:14.920,1598866,2018-06-05 04:26:15.000,NULL,42.304021,-82.985942,America/Toronto,C,544,CA
100075,0075,A,170,670 FAIRWAY RD S,NULL,KITCHENER,N2C 1X3,1,2018-07-04 16:07:19.710,1598866,2018-07-04 16:07:20.000,NULL,43.419708,-80.452438,America/Toronto,C,544,CA
100076,0076,A,165,239 KING STW,NULL,HAMILTON,L8P 1A7,1,2018-06-05 04:26:16.013,1598866,2018-06-05 04:26:16.000,NULL,43.258315,-79.876083,America/Toronto,C,544,CA
100077,0077,A,170,687 EAST RIVER RD,NULL,NEW GLASGOW,B2H 3S4,1,2018-07-03 04:36:20.807,1598866,2018-07-03 04:36:21.000,NULL,45.575544,-62.642274,America/Halifax,C,541,CA
100079,0079,A,175,275 KENMOUNT ROAD,NULL,ST JOHN'S,A1B 3P9,1,2018-07-03 04:36:21.620,1598866,2018-07-03 04:36:22.000,NULL,47.551560,-52.774998,America/St_Johns,C,540,CA
100081,0081,A,175,396 WELTON STREET,NULL,SYDNEY,B1P 5S7,1,2018-07-03 04:36:22.007,1,2018-07-19 05:00:21.000,NULL,46.144577,-60.160107,America/Halifax,C,541,CA
100082,0082,A,170,577 SAINT PETER AVENUE,NULL,BATHURST,E2A 2Y5,1,2018-07-03 04:36:22.377,1598866,2018-07-03 04:36:22.000,NULL,47.629977,-65.667207,America/Moncton,C,539,CA
100085,0085,A,165,1375 SOUTHDOWN ROAD,NULL,MISSISSAUGA,L5J 2Y9,1,2018-06-28 14:20:29.240,1598866,2018-06-28 14:20:29.000,NULL,43.518881,-79.639742,America/Toronto,C,544,CA
100087,0087,A,165,9595 KING GEORGE HWY,NULL,SURREY,V3V 5W4,1,2018-07-11 16:20:35.457,1598866,2018-07-11 16:20:35.000,NULL,49.176578,-122.846169,America/Vancouver,C,537,CA
100090,0090,A,170,1181 HIGHBURY AVE,NULL,LONDON,N5Y 1A6,1,2018-06-27 13:31:11.533,1598866,2018-06-27 13:31:12.000,NULL,43.016124,-81.213819,America/Toronto,C,544,CA
100093,0093,A,165,125 KENT STEET,NULL,CHARLOTTETOWN,C1A 1N3,1,2018-07-03 04:36:22.740,1598866,2018-07-03 04:36:23.000,NULL,46.235752,-63.128553,America/Halifax,C,545,CA
100094,0094,A,170,749 WILLIAM ST,NULL,COBOURG,K9A 3A7,1,2018-07-02 11:15:57.010,1598866,2018-07-02 11:15:57.000,NULL,43.968425,-78.188187,America/Toronto,C,544,CA
100095,0095,A,170,191 TRUNK RD,NULL,SAULT STE MARIE,P6A 3S5,1,2018-07-01 13:10:51.160,1598866,2018-07-01 13:10:51.000,NULL,46.513116,-84.292732,America/Toronto,C,544,CA
100096,0096,A,170,1258 LONDON RD,NULL,SARNIA,N7S 1P5,1,2018-06-28 19:59:09.377,1598866,2018-06-28 19:59:09.000,NULL,42.980112,-82.359980,America/Toronto,C,544,CA
100098,0098,A,145,354 HIGHLAND ROAD WEST,NULL,KITCHENER,N2M 3C7,1,2018-06-24 16:25:44.190,1598866,2018-06-24 16:25:44.000,NULL,43.438045,-80.510963,America/Toronto,C,544,CA
100101,0101,A,170,"75 LANSDOWNE AVE, LANDSDOWNE PLACE",NULL,SAINT JOHN,E2K 2Z9,1,2018-07-14 08:08:16.520,1598866,2018-07-14 08:08:18.000,NULL,45.277719,-66.077324,America/Moncton,C,539,CA
100102,0102,A,175,6046 YOUNG STREET,NULL,HALIFAX,B3K 2A2,1,2018-07-14 12:01:00.753,1598866,2018-07-14 12:01:01.000,NULL,44.658769,-63.602364,America/Halifax,C,541,CA
100104,0104,A,175,20 KEIL DR S,NULL,CHATHAM,N7M 3G8,1,2018-06-13 20:49:38.777,1598866,2018-06-13 20:49:39.000,NULL,42.392900,-82.209277,America/Toronto,C,544,CA
100105,0105,A,170,290 MAIN ST,NULL,FREDERICTON,E3A 1C9,1,2018-07-14 08:20:56.110,1598866,2018-07-14 08:20:56.000,NULL,45.975585,-66.647058,America/Moncton,C,539,CA
100108,0108,A,235,"1 WATER ST EAST, CORNWALL SQUARE",NULL,CORNWALL,K6H 6M2,1,2018-07-13 10:23:43.347,1598866,2018-07-13 10:23:43.000,NULL,45.016476,-74.725623,America/Toronto,C,544,CA
100109,0109,A,170,415 SIMCOE ST S,NULL,OSHAWA,L1H 4J5,1,2018-07-08 16:01:54.113,1598866,2018-07-08 16:01:54.000,NULL,43.886497,-78.858321,America/Toronto,C,544,CA
100110,0110,A,170,1058 KINGS ROAD,NULL,SYDNEY,B1S 1C7,1,2018-07-12 16:01:04.713,1,2018-07-19 05:00:21.000,NULL,46.112270,-60.218233,America/Halifax,C,541,CA
100112,0112,A,175,"2145 ROBERTSON RD, BELLS CORNERS, Robertson Road",NULL,NEPEAN,K2H 5Z2,1,2018-07-08 17:29:39.507,1598866,2018-07-08 17:29:39.000,NULL,45.320983,-75.836724,America/Toronto,C,544,CA
100113,0113,A,170,338 KING STREET WEST,NULL,OSHAWA,L1J 2J9,1,2018-06-15 20:14:00.150,1598866,2018-06-15 20:14:00.000,NULL,43.895581,-78.876425,America/Toronto,C,544,CA
100114,0114,A,170,105 WEST ST,NULL,CORNER BROOK,A2H 2Y6,1,2018-07-03 04:36:24.737,1598866,2018-07-03 04:36:25.000,NULL,48.950688,-57.939266,America/St_Johns,C,540,CA
100115,0115,A,165,6641 KINGSWAY,NULL,BURNABY,V5E 1E2,1,2018-06-23 21:28:32.663,1598866,2018-06-23 21:28:32.000,NULL,49.218924,-122.966535,America/Vancouver,C,537,CA
100116,0116,A,170,65 UNIVERSITY AVE EAST,NULL,WATERLOO,N2J 2V9,1,2018-06-05 04:26:26.173,1598866,2018-06-05 04:26:26.000,NULL,43.477192,-80.521613,America/Toronto,C,544,CA
100118,0118,A,170,1146 PORTAGE AVE,NULL,WINNIPEG,R3G 0T1,1,2018-07-12 15:47:35.827,1598866,2018-07-12 15:47:36.000,NULL,49.883557,-97.181322,America/Winnipeg,C,538,CA
100119,0119,A,170,158 MAIN STREET W.,NULL,SAINT JOHN,E2M 2J9,1,2018-07-03 04:36:25.290,1598866,2018-07-03 04:36:25.000,NULL,45.256085,-66.093817,America/Moncton,C,539,CA
100120,0120,A,170,6605 TECUMSEH RD E,NULL,WINDSOR,N8T 1E7,1,2018-06-26 10:47:18.330,1598866,2018-06-26 10:47:18.000,NULL,42.311099,-82.945570,America/Toronto,C,544,CA
100121,0121,A,170,1510 PEMBINA HWY,NULL,WINNIPEG,R3T 2E3,1,2018-06-23 08:16:26.047,1598866,2018-06-23 08:16:26.000,NULL,49.834672,-97.149685,America/Winnipeg,C,538,CA
100122,0122,A,165,1848 MAIN ST,NULL,WINNIPEG,R2V 3H2,1,2018-06-23 04:36:53.890,1598866,2018-06-23 04:36:54.000,NULL,49.938896,-97.116293,America/Winnipeg,C,538,CA
100123,0123,A,170,2 TREMONT DR,NULL,ST CATHARINES,L2T 3B2,1,2018-06-13 04:33:26.463,1598866,2018-06-13 04:33:27.000,NULL,43.132392,-79.223793,America/Toronto,C,544,CA
100124,0124,A,165,575 36TH ST NE,NULL,CALGARY,T2A 4W3,1,2018-05-27 04:35:55.917,1598866,2018-05-27 04:35:56.000,NULL,51.056855,-113.982433,America/Edmonton,C,536,CA
100125,0125,A,170,"511, RUE SAMUEL-DE-CHAMPLAIN",NULL,BOUCHERVILLE,J4B 6B6,1,2018-05-29 04:34:07.707,1598866,2018-05-29 04:34:08.000,NULL,45.600400,-73.446000,America/Montreal,C,546,CA
100126,0126,A,170,644 PORTLAND STREET,NULL,DARTMOUTH,B2W 6C4,1,2018-07-03 04:36:27.400,1598866,2018-07-03 04:36:27.000,NULL,44.671553,-63.526781,America/Halifax,C,541,CA
100127,0127,A,175,"810, BOUL. LAURE",NULL,SEPT-ILES,G4R 0E8,1,2018-01-15 05:18:10.637,1598866,2018-01-15 05:18:10.000,NULL,50.222441,-66.386711,America/Montreal,C,546,CA
100128,0128,A,175,"1600, RUE TRUDEL",NULL,SHAWINIGAN,G9N 8K8,1,2018-06-26 10:22:01.550,1598866,2018-06-26 10:22:02.000,NULL,46.557226,-72.749839,America/Montreal,C,546,CA
100129,0129,A,170,2303 LAKESHORE RD W,NULL,OAKVILLE,L6L 1H2,1,2018-07-15 08:34:32.710,1598866,2018-07-15 08:34:33.000,NULL,43.398412,-79.707768,America/Toronto,C,544,CA
100130,0130,A,175,"90, BOUL. DES BOIS-FRANCS SUD",NULL,VICTORIAVILLE,G6P 4S1,1,2018-06-06 13:39:06.980,1598866,2018-06-06 13:39:07.000,NULL,46.057832,-71.948909,America/Montreal,C,546,CA
100133,0133,A,170,"489, BOUL. DES LAURENTIDES",NULL,LAVAL,H7G 2V2,1,2018-07-15 04:38:38.800,1598866,2018-07-15 04:38:39.000,NULL,45.569742,-73.691279,America/Montreal,C,546,CA
100134,0134,A,170,1000 VICTORIA ST N,NULL,KITCHENER,N2B 3C4,1,2018-06-27 16:16:49.597,1598866,2018-06-27 16:16:49.000,NULL,43.465467,-80.461896,America/Toronto,C,544,CA
100135,0135,A,175,15 AKERLEY BLVD,NULL,DARTMOUTH,B3B 1J6,1,2018-07-03 04:36:27.823,1598866,2018-07-03 04:36:28.000,NULL,44.707372,-63.608582,America/Halifax,C,541,CA
100136,0136,A,175,9061 COMMERCIAL STREET,NULL,NEW MINAS,B4N 3E6,1,2018-07-11 13:32:19.423,1598866,2018-07-11 13:32:19.000,NULL,45.068287,-64.456071,America/Halifax,C,541,CA
100137,0137,A,175,222 BARTON ST E,NULL,HAMILTON,L8L 2W8,1,2018-07-11 16:19:53.987,1598866,2018-07-11 16:19:54.000,NULL,43.261484,-79.856491,America/Toronto,C,544,CA
100140,0140,A,235,48 KENMOUNT RD - AVALON MALL,NULL,ST JOHN'S,A1B 1W3,1,2018-07-03 04:36:28.627,1598866,2018-07-03 04:36:29.000,NULL,47.560614,-52.756388,America/St_Johns,C,540,CA
100141,0141,A,165,"2700 Rue Ontario Est,",NULL,Montreal,H2K 1W9,1,2018-07-15 04:38:39.647,1598866,2018-07-15 04:38:40.000,NULL,45.534370,-73.551457,America/Montreal,C,546,CA
100142,0142,A,235,"999 UPPER WENTWORTH, LIMERIDGE MALL",NULL,HAMILTON,L9A 4X5,1,2018-07-08 16:08:35.580,1598866,2018-07-08 16:08:35.000,NULL,43.217148,-79.860799,America/Toronto,C,544,CA
100144,0144,A,165,"2458 DUNDAS ST W, WOODCHESTER",NULL,MISSISSAUGA,L5K 1R8,1,2018-07-14 12:55:20.707,1598866,2018-07-14 12:55:21.000,NULL,43.527734,-79.676023,America/Toronto,C,544,CA
100145,0145,A,165,3905 32ND ST,NULL,VERNON,V1T 5P2,1,2018-06-30 20:41:35.903,1598866,2018-06-30 20:41:37.000,NULL,50.270861,-119.273328,America/Vancouver,C,537,CA
100148,0148,A,165,575 ONTARIO STS,NULL,MILTON,L9T 2N2,1,2018-07-02 18:08:06.773,1598866,2018-07-02 18:08:07.000,NULL,43.507042,-79.861981,America/Toronto,C,544,CA
100149,0149,A,170,430 COVERDALE RD,NULL,RIVERVIEW,E1B 3K1,1,2018-07-03 04:36:29.353,1598866,2018-07-03 04:36:29.000,NULL,46.064364,-64.801111,America/Moncton,C,539,CA
100151,0151,A,170,1802 ST LAURENT BLVD,NULL,OTTAWA,K1G 1A2,1,2018-06-13 16:55:39.770,1598866,2018-06-13 16:55:40.000,NULL,45.403670,-75.627037,America/Toronto,C,544,CA
100152,0152,A,165,481 TRANQUILLE RD,NULL,KAMLOOPS,V2B 3H3,1,2018-05-05 04:39:54.253,1598866,2018-05-05 04:39:54.000,NULL,50.691988,-120.359406,America/Vancouver,C,537,CA
100153,0153,A,170,297 DUNLOP ST WEST,NULL,BARRIE,L4N 1C1,1,2018-07-05 16:52:15.960,1598866,2018-07-05 16:52:16.000,NULL,44.381537,-79.706825,America/Toronto,C,544,CA
100154,0154,A,170,665 Boul La Lafleche,NULL,BAIE-COMEAU,G5C 1C4,1,2018-07-04 13:30:35.890,1598866,2018-07-04 13:30:36.000,NULL,49.200612,-68.256551,America/Montreal,C,546,CA
100155,0155,A,170,"50, RUE ALPHONSE-DESJARDINS",NULL,SALABERRY-DE-VALLEYFIELD,J6S 2M3,1,2018-07-15 04:38:40.060,1598866,2018-07-15 04:38:40.000,NULL,45.258100,-74.128400,America/Montreal,C,546,CA
100157,0157,A,165,"2050, BOUL. ST-JOSEPH",NULL,DRUMMONDVILLE,J2B 1R7,1,2018-06-30 14:15:51.180,1,2018-07-19 05:00:32.000,NULL,45.876762,-72.485471,America/Montreal,C,546,CA
100159,0159,A,170,11 MOUNTAINVIEW RD.  N.,NULL,GEORGETOWN,L7G 4T3,1,2018-06-05 04:26:39.470,1598866,2018-06-05 04:26:39.000,NULL,43.651352,-79.903885,America/Toronto,C,544,CA
100160,0160,A,175,"1320 SECOND STREET  EAST, EASTCOURT MALL",NULL,CORNWALL,K6H 2B7,1,2018-06-13 15:32:40.890,1598866,2018-06-13 15:32:41.000,NULL,45.026264,-74.705334,America/Toronto,C,544,CA
100162,0162,A,170,304 STONE RD,NULL,GUELPH,N1G 3E1,1,2018-06-12 15:07:52.550,1598866,2018-06-12 15:07:52.000,NULL,43.518675,-80.234864,America/Toronto,C,544,CA
100163,0163,A,170,100 PEMBROKE ST E,NULL,PEMBROKE,K8A 8A3,1,2018-07-14 04:19:14.683,1598866,2018-07-14 04:19:15.000,NULL,45.825651,-77.110858,America/Toronto,C,544,CA
100164,0164,A,175,529 HWY #8,NULL,STONEY CREEK,L8G 4L6,1,2018-07-14 14:20:28.467,1598866,2018-07-14 14:20:28.000,NULL,43.216053,-79.713390,America/Toronto,C,544,CA
100165,0165,A,170,257 MAIN ST E,NULL,HAMILTON,L8H 1H4,1,2018-07-07 12:56:10.853,1598866,2018-07-07 12:56:11.000,NULL,43.253048,-79.859811,America/Toronto,C,544,CA
100174,0174,A,175,327 ELMWOOD RD,NULL,MONCTON,E1A 1X6,1,2018-07-03 04:36:29.700,1598866,2018-07-03 04:36:30.000,NULL,46.114409,-64.773047,America/Moncton,C,539,CA
100175,0175,A,165,"1126, 7E RUE",NULL,VAL-D'OR,J9P 3R6,1,2018-07-15 04:38:40.430,1598866,2018-07-15 04:38:40.000,NULL,48.102297,-77.788050,America/Montreal,C,546,CA
100176,0176,A,170,612 KING ST,NULL,FREDERICTON,E3B 1G1,1,2018-07-03 04:36:30.060,1598866,2018-07-03 04:36:30.000,NULL,45.959935,-66.639258,America/Moncton,C,539,CA
100177,0177,A,170,1166 DIVISION STREET,NULL,KINGSTON,K7K 7H4,1,2018-07-11 14:02:36.553,1598866,2018-07-11 14:02:37.000,NULL,44.264652,-76.498461,America/Toronto,C,544,CA
100179,0179,A,170,470 ST ALBERT ROAD,NULL,ST ALBERT,T8N 5J9,1,2018-07-13 15:09:53.120,1598866,2018-07-13 15:09:53.000,NULL,53.647696,-113.628587,America/Edmonton,C,536,CA
100182,0182,A,235,1 MARKET SQUARE,NULL,SAINT JOHN,E2L 4Z6,1,2018-07-03 04:36:30.430,1598866,2018-07-03 04:36:30.000,NULL,45.273093,-66.064755,America/Moncton,C,539,CA
100183,0183,A,165,73 OXFORD STREET,NULL,TILLSONBURG,N4G 2G6,1,2018-07-14 16:37:05.150,1598866,2018-07-14 16:37:05.000,NULL,42.859923,-80.722533,America/Toronto,C,544,CA
100184,0184,A,170,260 BLEAMS RD,NULL,KITCHENER,N2C 2K6,1,2018-07-03 15:59:16.320,1598866,2018-07-03 15:59:16.000,NULL,43.411184,-80.459127,America/Toronto,C,544,CA
100187,0187,A,165,30 WEBSTER ST,NULL,KENTVILLE,B4N 1H4,1,2018-07-08 10:52:58.947,1598866,2018-07-08 10:52:59.000,NULL,45.078040,-64.494926,America/Halifax,C,541,CA
