id	location_cd	status_cd		type_id	street_address1	street_address2	city	postal_cd	created_user_id	created_datetime	updated_user_id	updated_datetime	region_id	latitude	longitude	time_zone	temperature_scale	country_part	country_cd
100024	24	A	#N/A	170	2075 SHEPPARD AVE E	NULL	NORTH YORK	M2J 1W6	1	38:18.7	1598866	38:19.0	NULL	43.775116	-79.334145	America/Toronto	C	544	CA
100025	25	A	#N/A	170	333 ONTARIO STREET	NULL	ST CATHARINES	L2R 5L3	1	36:49.2	1598866	36:49.0	NULL	43.171098	-79.265514	America/Toronto	C	544	CA
100026	26	A	#N/A	175	77 WILLIAM STREET	NULL	BROCKVILLE	K6V 4V7	1	13:39.9	1598866	13:40.0	NULL	44.593295	-75.688346	America/Toronto	C	544	CA
100027	27	A	#N/A	225	"41 FESTUBERT WAY, CFB PETAWAWA, UNIT 103"	NULL	PETAWAWA	K8H 1N3	1	20:15.1	1598866	20:15.0	NULL	45.913342	-77.27837	America/Toronto	C	544	CA
100029	29	A	#N/A	165	166 ONTARIO STREET	NULL	STRATFORD	N5A 3H4	1	35:32.5	1598866	35:33.0	NULL	43.371548	-80.979467	America/Toronto	C	544	CA
100030	30	A	#N/A	170	"4725 DORCHESTER RD, UNIT C"	NULL	NIAGARA FALLS	L2E 0A8	1	25:51.7	1598866	25:51.0	NULL	43.104476	-79.112054	America/Toronto	C	544	CA
100031	31	A	#N/A	170	25 COLBORNE STREET	NULL	ORILLIA	L3V 1T4	1	33:22.3	1598866	33:22.0	NULL	44.607019	-79.417586	America/Toronto	C	544	CA
100032	32	A	#N/A	170	1373 MARTINDALE ROAD	NULL	SUDBURY	P3E 4J7	1	54:34.1	1598866	54:34.0	NULL	46.463998	-81.009654	America/Toronto	C	544	CA
100033	33	A	#N/A	170	1050 CASSELLS STREET	NULL	NORTH BAY	P1B 4A9	1	33:23.0	1598866	33:23.0	NULL	46.317096	-79.458513	America/Toronto	C	544	CA
100034	34	A	#N/A	175	141 GARRISON ROAD	NULL	FORT ERIE	L2A 1M3	1	08:58.3	1598866	08:58.0	NULL	42.906058	-78.918265	America/Toronto	C	544	CA
100035	35	A	#N/A	170	119 OXFORD STREET	NULL	LONDON	N6A 1T2	1	25:55.7	1598866	25:56.0	NULL	42.993818	-81.257931	America/Toronto	C	544	CA
100036	36	A	#N/A	170	354 BAYFIELD STREET	NULL	BARRIE	L4M 3C4	1	33:10.0	1598866	33:10.0	NULL	44.403867	-79.703908	America/Toronto	C	544	CA
100037	37	A	#N/A	175	648 COLBORNE STREET	NULL	BRANTFORD	N3S 3P8	1	00:33.3	1598866	00:33.0	NULL	43.141156	-80.239169	America/Toronto	C	544	CA
100038	38	A	#N/A	170	38 YORK ROAD	NULL	DUNDAS	L9H 1L4	1	44:38.8	1598866	44:39.0	NULL	43.2659	-79.949537	America/Toronto	C	544	CA
100039	39	A	#N/A	170	30 QUEENSTON ROAD	NULL	HAMILTON	L8K 1E8	1	38:16.3	1598866	38:16.0	NULL	43.236301	-79.800921	America/Toronto	C	544	CA
100040	40	I	#N/A	165	Avenues Mall	NULL	GUELPH	N1H 3Z2	1	43:50.9	1	43:50.9	NULL	43.5621	-80.2735	America/Toronto	C	544	CA
100041	41	A	#N/A	235	"963 CENTRAL AVE, GREENWOOD MALL"	NULL	GREENWOOD	B0P 1N0	1	20:58.7	1598866	20:59.0	NULL	44.968384	-64.926328	America/Halifax	C	541	CA
100043	43	A	#N/A	170	1166 MOUNTAIN ROAD	NULL	MONCTON	E1C 2T5	1	36:16.2	1598866	36:16.0	NULL	46.106572	-64.82463	America/Moncton	C	539	CA
100044	44	A	#N/A	165	153 WYSE ROAD	NULL	DARTMOUTH	B3A 1M5	1	26:51.7	1598866	26:51.0	NULL	44.671077	-63.580142	America/Halifax	C	541	CA
100045	45	A	#N/A	170	368 ST CLAIR STREET	NULL	CHATHAM	N7L 3K2	1	29:40.3	1598866	29:40.0	NULL	42.41409	-82.199522	America/Toronto	C	544	CA
100046	46	A	#N/A	170	2294 KINGSTON ROAD	NULL	SCARBOROUGH	M1N 1T9	1	52:43.8	1598866	52:44.0	NULL	43.705852	-79.251995	America/Toronto	C	544	CA
100047	47	A	#N/A	170	705 WELLINGTON RD	NULL	LONDON	N6C 4R4	1	35:55.0	1598866	35:55.0	NULL	42.948104	-81.228083	America/Toronto	C	544	CA
100048	48	I	#N/A	170	Avenues Mall	NULL	FREDERICTON	E3B 2T7	1	43:50.9	1	43:50.9	NULL	NULL	NULL	America/Moncton	C	539	CA
100049	49	A	#N/A	165	"11312 109TH STREET NW, BEST WESTERN"	NULL	EDMONTON	T5G 2T7	1	35:42.2	1598866	35:42.0	NULL	53.56319	-113.508979	America/Edmonton	C	536	CA
100050	50	A	#N/A	170	995 TALBOT STREET E	NULL	ST THOMAS	N5P 1G1	1	15:03.3	1598866	15:03.0	NULL	42.778828	-81.176593	America/Toronto	C	544	CA
100052	52	A	#N/A	170	282 RIDGEWAY ROAD	NULL	CRYSTAL BEACH	L0S 1B0	1	26:06.8	1598866	26:07.0	NULL	42.867928	-79.058505	America/Toronto	C	544	CA
100053	53	A	#N/A	170	154 OSBORNE ST	NULL	HALIFAX	B3N 3J6	1	36:16.9	1598866	36:17.0	NULL	44.631138	-63.631851	America/Halifax	C	541	CA
100056	56	A	#N/A	165	2842 BARTON STE	NULL	HAMILTON	L8E 2K1	1	11:44.6	1598866	11:45.0	NULL	43.232166	-79.739906	America/Toronto	C	544	CA
100058	58	A	#N/A	170	435 UNIVERSITY AVE	NULL	CHARLOTTETOWN	C1A 4N7	1	36:18.1	1598866	36:18.0	NULL	46.248289	-63.136761	America/Halifax	C	545	CA
100059	59	A	#N/A	170	145 HARTZEL RD	NULL	ST CATHARINES	L2P 1N6	1	44:15.2	1598866	44:15.0	NULL	43.14979	-79.21515	America/Toronto	C	544	CA
100060	60	A	#N/A	170	429 MAIN STW	NULL	PORT COLBORNE	L3K 3W2	1	41:46.6	1598866	41:46.0	NULL	42.899175	-79.258568	America/Toronto	C	544	CA
100061	61	I	#N/A	165	"21 ESSA RD, UNIT B"	NULL	BARRIE	L4N 3K4	1	43:50.9	1	43:50.9	NULL	44.373943	-79.690697	America/Toronto	C	544	CA
100062	62	A	#N/A	170	425 HESPELER ROAD	NULL	CAMBRIDGE	N1R 6J2	1	43:55.3	1598866	43:55.0	NULL	43.395733	-80.323941	America/Toronto	C	544	CA
100063	63	A	#N/A	170	957 10TH ST W	NULL	OWEN SOUND	N4K 3H8	1	26:11.4	1598866	26:11.0	NULL	44.562019	-80.964918	America/Toronto	C	544	CA
100064	64	A	#N/A	170	275 TECUMSEH BLVD W	NULL	WINDSOR	N8X 1X2	1	04:20.7	1598866	04:21.0	NULL	42.295667	-83.028087	America/Toronto	C	544	CA
100065	65	A	#N/A	175	84 MAIN ST	NULL	DARTMOUTH	B2X 1R5	1	36:19.1	1598866	36:19.0	NULL	44.681166	-63.543216	America/Halifax	C	541	CA
100066	66	A	#N/A	145	503 MAIN ST E	NULL	HAMILTON	L8N 1K8	1	38:33.9	1598866	38:34.0	NULL	43.250522	-79.849945	America/Toronto	C	544	CA
100067	67	I	#N/A	235	Avenues Mall	NULL	CALGARY	T2G 2W1	1	43:50.9	1	43:50.9	NULL	51.038035	-114.051451	America/Edmonton	C	536	CA
100068	68	A	#N/A	165	1153 KING ST E	NULL	HAMILTON	L8M 1G1	1	19:56.5	1598866	19:56.0	NULL	43.24798	-79.828184	America/Toronto	C	544	CA
100069	69	A	#N/A	170	"447 ROTHSAY AVE, PO BOX 52"	NULL	SAINT JOHN	E2J 2C3	1	36:19.6	1598866	36:20.0	NULL	45.306826	-66.032064	America/Moncton	C	539	CA
100070	70	A	#N/A	175	"15 QUEENSWAY E, UNIT 3"	NULL	SIMCOE	N3Y 4Y2	1	22:50.0	1598866	22:50.0	NULL	42.84694	-80.305633	America/Toronto	C	544	CA
100071	71	A	#N/A	170	236 ROBIE ST	NULL	TRURO	B2N 1L1	1	07:54.3	1598866	07:54.0	NULL	45.369172	-63.302153	America/Halifax	C	541	CA
100072	72	I	#N/A	165	Avenues Mall	NULL	ROSEMÈRE	J7A 2H4	1	43:50.9	1	43:50.9	NULL	45.625446	-73.80445	America/Montreal	C	546	CA
100073	73	A	#N/A	170	3090 TECUMSEH RD E	NULL	WINDSOR	N8W 1G7	1	26:14.9	1598866	26:15.0	NULL	42.304021	-82.985942	America/Toronto	C	544	CA
100074	74	I	#N/A	165	Avenues Mall	NULL	WINDSOR	N9A 1C9	1	43:50.9	1	43:50.9	NULL	42.3054	-83.0313	America/Toronto	C	544	CA
100075	75	A	#N/A	170	670 FAIRWAY RD S	NULL	KITCHENER	N2C 1X3	1	07:19.7	1598866	07:20.0	NULL	43.419708	-80.452438	America/Toronto	C	544	CA
100076	76	A	#N/A	165	239 KING STW	NULL	HAMILTON	L8P 1A7	1	26:16.0	1598866	26:16.0	NULL	43.258315	-79.876083	America/Toronto	C	544	CA
100077	77	A	#N/A	170	687 EAST RIVER RD	NULL	NEW GLASGOW	B2H 3S4	1	36:20.8	1598866	36:21.0	NULL	45.575544	-62.642274	America/Halifax	C	541	CA
100079	79	A	#N/A	175	275 KENMOUNT ROAD	NULL	ST JOHN'S	A1B 3P9	1	36:21.6	1598866	36:22.0	NULL	47.55156	-52.774998	America/St_Johns	C	540	CA
100080	80	I	#N/A	165	Avenues Mall	NULL	ST. JOHN'S	A1E 2C2	1	43:50.9	1	43:50.9	NULL	47.530844	-52.756791	America/St_Johns	C	540	CA
100081	81	A	#N/A	175	396 WELTON STREET	NULL	SYDNEY	B1P 5S7	1	36:22.0	1598866	36:22.0	NULL	46.144577	-60.160107	America/Glace_Bay	C	541	CA
100082	82	A	#N/A	170	577 SAINT PETER AVENUE	NULL	BATHURST	E2A 2Y5	1	36:22.4	1598866	36:22.0	NULL	47.629977	-65.667207	America/Moncton	C	539	CA
100085	85	A	#N/A	165	1375 SOUTHDOWN ROAD	NULL	MISSISSAUGA	L5J 2Y9	1	20:29.2	1598866	20:29.0	NULL	43.518881	-79.639742	America/Toronto	C	544	CA
100086	86	I	#N/A	165	Avenues Mall	NULL	PENTICTON	V2A 5H7	1	43:50.9	1	43:50.9	NULL	49.474506	-119.582524	America/Vancouver	C	537	CA
100087	87	A	#N/A	165	9595 KING GEORGE HWY	NULL	SURREY	V3V 5W4	1	39:29.8	1598866	39:30.0	NULL	49.176578	-122.846169	America/Vancouver	C	537	CA
100088	88	I	#N/A	165	Avenues Mall	NULL	BURLINGTON	L7N 2R4	1	43:50.9	1	43:50.9	NULL	43.3578	-79.7822	America/Toronto	C	544	CA
100089	89	I	#N/A	165	Avenues Mall	NULL	BURLINGTON	L7L 2Y5	1	43:50.9	1	43:50.9	NULL	43.3728	-79.7615	America/Toronto	C	544	CA
100090	90	A	#N/A	170	1181 HIGHBURY AVE	NULL	LONDON	N5Y 1A6	1	31:11.5	1598866	31:12.0	NULL	43.016124	-81.213819	America/Toronto	C	544	CA
100091	91	I	#N/A	165	Avenues Mall	NULL	BRAMPTON	L6W 2E2	1	43:50.9	1	43:50.9	NULL	43.6737	-79.7434	America/Toronto	C	544	CA
100092	92	I	#N/A	165	Avenues Mall	NULL	MONCTON	E1C 1H1	1	43:50.9	1	43:50.9	NULL	46.085891	-64.786593	America/Moncton	C	539	CA
100093	93	A	#N/A	165	125 KENT STEET	NULL	CHARLOTTETOWN	C1A 1N3	1	36:22.7	1598866	36:23.0	NULL	46.235752	-63.128553	America/Halifax	C	545	CA
100094	94	A	#N/A	170	749 WILLIAM ST	NULL	COBOURG	K9A 3A7	1	15:57.0	1598866	15:57.0	NULL	43.968425	-78.188187	America/Toronto	C	544	CA
100095	95	A	#N/A	170	191 TRUNK RD	NULL	SAULT STE MARIE	P6A 3S5	1	10:51.2	1598866	10:51.0	NULL	46.513116	-84.292732	America/Toronto	C	544	CA
100096	96	A	#N/A	170	1258 LONDON RD	NULL	SARNIA	N7S 1P5	1	59:09.4	1598866	59:09.0	NULL	42.980112	-82.35998	America/Toronto	C	544	CA
100098	98	A	#N/A	145	354 HIGHLAND ROAD WEST	NULL	KITCHENER	N2M 3C7	1	25:44.2	1598866	25:44.0	NULL	43.438045	-80.510963	America/Toronto	C	544	CA
100100	100	I	#N/A	165	2826 ARTHUR ST E	NULL	THUNDER BAY	P7E 5P4	1	43:50.9	1	43:50.9	NULL	48.38084	-89.27784	America/Thunder_Bay	C	544	CA
100101	101	A	#N/A	170	"75 LANSDOWNE AVE, LANDSDOWNE PLACE"	NULL	SAINT JOHN	E2K 2Z9	1	36:23.1	1598866	36:23.0	NULL	45.277719	-66.077324	America/Moncton	C	539	CA
100102	102	A	#N/A	175	6046 YOUNG STREET	NULL	HALIFAX	B3K 2A2	1	40:42.6	1598866	40:43.0	NULL	44.658769	-63.602364	America/Halifax	C	541	CA
100103	103	I	#N/A	165	Avenues Mall	NULL	LANGLEY	V3A 4E1	1	43:50.9	1	43:50.9	NULL	NULL	NULL	America/Vancouver	C	537	CA
100104	104	A	#N/A	175	20 KEIL DR S	NULL	CHATHAM	N7M 3G8	1	49:38.8	1598866	49:39.0	NULL	42.3929	-82.209277	America/Toronto	C	544	CA
100105	105	A	#N/A	170	290 MAIN ST	NULL	FREDERICTON	E3A 1C9	1	42:08.3	1598866	42:08.0	NULL	45.975585	-66.647058	America/Moncton	C	539	CA
100106	106	I	#N/A	165	C/O 687 EAST RIVER ROAD	NULL	NEW GLASGOW	B2H 3S4	1	43:50.9	1	43:50.9	NULL	45.676235	-62.712196	America/Halifax	C	541	CA
100107	107	I	#N/A	165	"6721 GAETZ AVE, UNIT # 7"	NULL	RED DEER	T4N 4C9	1	00:15.9	1598866	00:16.0	NULL	52.289258	-113.812207	America/Edmonton	C	536	CA
100108	108	A	#N/A	235	"1 WATER ST EAST, CORNWALL SQUARE"	NULL	CORNWALL	K6H 6M2	1	10:46.7	1598866	10:47.0	NULL	45.016476	-74.725623	America/Toronto	C	544	CA
100109	109	A	#N/A	170	415 SIMCOE ST S	NULL	OSHAWA	L1H 4J5	1	47:44.0	1598866	47:44.0	NULL	43.886497	-78.858321	America/Toronto	C	544	CA
100110	110	A	#N/A	170	1058 KINGS ROAD	NULL	SYDNEY	B1S 1C7	1	36:24.3	1598866	36:24.0	NULL	46.11227	-60.218233	America/Glace_Bay	C	541	CA
100111	111	I	#N/A	165	3543 DUTCH VILLAGE RD	NULL	HALIFAX	B3L 4H7	1	43:50.9	1	43:50.9	NULL	44.65559	-63.632069	America/Halifax	C	541	CA
100112	112	A	#N/A	175	"2145 ROBERTSON RD, BELLS CORNERS, Robertson Road"	NULL	NEPEAN	K2H 5Z2	1	33:01.5	1598866	33:01.0	NULL	45.320983	-75.836724	America/Toronto	C	544	CA
100113	113	A	#N/A	170	338 KING STREET WEST	NULL	OSHAWA	L1J 2J9	1	14:00.1	1598866	14:00.0	NULL	43.895581	-78.876425	America/Toronto	C	544	CA
100114	114	A	#N/A	170	105 WEST ST	NULL	CORNER BROOK	A2H 2Y6	1	36:24.7	1598866	36:25.0	NULL	48.950688	-57.939266	America/St_Johns	C	540	CA
100115	115	A	#N/A	165	6641 KINGSWAY	NULL	BURNABY	V5E 1E2	1	28:32.7	1598866	28:32.0	NULL	49.218924	-122.966535	America/Vancouver	C	537	CA
100116	116	A	#N/A	170	65 UNIVERSITY AVE EAST	NULL	WATERLOO	N2J 2V9	1	26:26.2	1598866	26:26.0	NULL	43.477192	-80.521613	America/Toronto	C	544	CA
100117	117	I	#N/A	165	Avenues Mall	NULL	HAMILTON	L8P 2S4	1	43:50.9	1	43:50.9	NULL	43.2508	-79.8927	America/Toronto	C	544	CA
100118	118	A	#N/A	170	1146 PORTAGE AVE	NULL	WINNIPEG	R3G 0T1	1	20:34.9	1598866	20:35.0	NULL	49.883557	-97.181322	America/Winnipeg	C	538	CA
100119	119	A	#N/A	170	158 MAIN STREET W.	NULL	SAINT JOHN	E2M 2J9	1	36:25.3	1598866	36:25.0	NULL	45.256085	-66.093817	America/Moncton	C	539	CA
100120	120	A	#N/A	170	6605 TECUMSEH RD E	NULL	WINDSOR	N8T 1E7	1	47:18.3	1598866	47:18.0	NULL	42.311099	-82.94557	America/Toronto	C	544	CA
100121	121	A	#N/A	170	1510 PEMBINA HWY	NULL	WINNIPEG	R3T 2E3	1	16:26.0	1598866	16:26.0	NULL	49.834672	-97.149685	America/Winnipeg	C	538	CA
100122	122	A	#N/A	165	1848 MAIN ST	NULL	WINNIPEG	R2V 3H2	1	36:53.9	1598866	36:54.0	NULL	49.938896	-97.116293	America/Winnipeg	C	538	CA
100123	123	A	#N/A	170	2 TREMONT DR	NULL	ST CATHARINES	L2T 3B2	1	33:26.5	1598866	33:27.0	NULL	43.132392	-79.223793	America/Toronto	C	544	CA
100124	124	A	#N/A	165	575 36TH ST NE	NULL	CALGARY	T2A 4W3	1	35:55.9	1598866	35:56.0	NULL	51.056855	-113.982433	America/Edmonton	C	536	CA
100125	125	A	#N/A	170	"511, RUE SAMUEL-DE-CHAMPLAIN"	NULL	BOUCHERVILLE	J4B 6B6	1	34:07.7	1598866	34:08.0	NULL	45.6004	-73.446	America/Montreal	C	546	CA
100126	126	A	#N/A	170	644 PORTLAND STREET	NULL	DARTMOUTH	B2W 6C4	1	36:27.4	1598866	36:27.0	NULL	44.671553	-63.526781	America/Halifax	C	541	CA
100127	127	A	#N/A	175	"810, BOUL. LAURE"	NULL	SEPT-ILES	G4R 0E8	1	18:10.6	1598866	18:10.0	NULL	50.222441	-66.386711	America/Montreal	C	546	CA
100128	128	A	#N/A	175	"1600, RUE TRUDEL"	NULL	SHAWINIGAN	G9N 8K8	1	22:01.5	1598866	22:02.0	NULL	46.557226	-72.749839	America/Montreal	C	546	CA
100129	129	A	#N/A	170	2303 LAKESHORE RD W	NULL	OAKVILLE	L6L 1H2	1	22:05.3	1598866	22:05.0	NULL	43.398412	-79.707768	America/Toronto	C	544	CA
100130	130	A	#N/A	175	"90, BOUL. DES BOIS-FRANCS SUD"	NULL	VICTORIAVILLE	G6P 4S1	1	39:07.0	1598866	39:07.0	NULL	46.057832	-71.948909	America/Montreal	C	546	CA
100132	132	I	#N/A	165	"808 HIGHWAY #1, DOWNSVIEW MALL"	NULL	LOWER SACKVILLE	B4E 1R7	1	43:50.9	1	43:50.9	NULL	44.774738	-63.693901	America/Halifax	C	541	CA
100133	133	A	#N/A	170	"489, BOUL. DES LAURENTIDES"	NULL	LAVAL	H7G 2V2	1	35:56.1	1598866	35:56.0	NULL	45.569742	-73.691279	America/Montreal	C	546	CA
100134	134	A	#N/A	170	1000 VICTORIA ST N	NULL	KITCHENER	N2B 3C4	1	16:49.6	1598866	16:49.0	NULL	43.465467	-80.461896	America/Toronto	C	544	CA
100135	135	A	#N/A	175	15 AKERLEY BLVD	NULL	DARTMOUTH	B3B 1J6	1	36:27.8	1598866	36:28.0	NULL	44.707372	-63.608582	America/Halifax	C	541	CA
100136	136	A	#N/A	175	9061 COMMERCIAL STREET	NULL	NEW MINAS	B4N 3E6	1	55:44.9	1598866	55:45.0	NULL	45.068287	-64.456071	America/Halifax	C	541	CA
100137	137	A	#N/A	175	222 BARTON ST E	NULL	HAMILTON	L8L 2W8	1	55:40.3	1598866	55:40.0	NULL	43.261484	-79.856491	America/Toronto	C	544	CA
100140	140	A	#N/A	235	48 KENMOUNT RD - AVALON MALL	NULL	ST JOHN'S	A1B 1W3	1	36:28.6	1598866	36:29.0	NULL	47.560614	-52.756388	America/St_Johns	C	540	CA
100141	141	A	#N/A	165	"2700 Rue Ontario Est,"	NULL	Montreal	H2K 1W9	1	35:56.4	1598866	35:56.0	NULL	45.53437	-73.551457	America/Montreal	C	546	CA
100142	142	A	#N/A	235	"999 UPPER WENTWORTH, LIMERIDGE MALL"	NULL	HAMILTON	L9A 4X5	1	07:43.6	1598866	07:44.0	NULL	43.217148	-79.860799	America/Toronto	C	544	CA
100143	143	I	#N/A	165	Avenues Mall	NULL	NORTH YORK	M2M 4J3	1	43:50.9	1	43:50.9	NULL	43.7826	-79.416	America/Toronto	C	544	CA
100144	144	A	#N/A	165	"2458 DUNDAS ST W, WOODCHESTER"	NULL	MISSISSAUGA	L5K 1R8	1	17:08.6	1598866	17:08.0	NULL	43.527734	-79.676023	America/Toronto	C	544	CA
100145	145	A	#N/A	165	3905 32ND ST	NULL	VERNON	V1T 5P2	1	41:35.9	1598866	41:37.0	NULL	50.270861	-119.273328	America/Vancouver	C	537	CA
100146	146	I	#N/A	165	"6112 QUINPOOL ROAD, EASTLAND CENTRE"	NULL	HALIFAX	B3L 1A3	1	43:50.9	1	43:50.9	NULL	44.646366	-63.593609	America/Halifax	C	541	CA
100148	148	A	#N/A	165	575 ONTARIO STS	NULL	MILTON	L9T 2N2	1	08:06.8	1598866	08:07.0	NULL	43.507042	-79.861981	America/Toronto	C	544	CA
100149	149	A	#N/A	170	430 COVERDALE RD	NULL	RIVERVIEW	E1B 3K1	1	36:29.4	1598866	36:29.0	NULL	46.064364	-64.801111	America/Moncton	C	539	CA
100151	151	A	#N/A	170	1802 ST LAURENT BLVD	NULL	OTTAWA	K1G 1A2	1	55:39.8	1598866	55:40.0	NULL	45.40367	-75.627037	America/Toronto	C	544	CA
100152	152	A	#N/A	165	481 TRANQUILLE RD	NULL	KAMLOOPS	V2B 3H3	1	39:54.3	1598866	39:54.0	NULL	50.691988	-120.359406	America/Vancouver	C	537	CA
100153	153	A	#N/A	170	297 DUNLOP ST WEST	NULL	BARRIE	L4N 1C1	1	52:16.0	1598866	52:16.0	NULL	44.381537	-79.706825	America/Toronto	C	544	CA
100154	154	A	#N/A	170	665 Boul La Lafleche	NULL	BAIE-COMEAU	G5C 1C4	1	30:35.9	1598866	30:36.0	NULL	49.200612	-68.256551	America/Montreal	C	546	CA
100155	155	A	#N/A	170	"50, RUE ALPHONSE-DESJARDINS"	NULL	SALABERRY-DE-VALLEYFIELD	J6S 2M3	1	20:36.3	1598866	20:36.0	NULL	45.2581	-74.1284	America/Montreal	C	546	CA
100156	156	I	#N/A	165	"1595 BEDFORD HWY, SUNNYSIDE MALL"	NULL	BEDFORD	B4A 1E7	1	43:50.9	1	43:50.9	NULL	44.732521	-63.656422	America/Halifax	C	541	CA
100157	157	A	#N/A	170	"2050, BOUL. ST-JOSEPH"	NULL	DRUMMONDVILLE	J2B 1R7	1	15:51.2	1598866	15:51.0	NULL	45.876762	-72.485471	America/Montreal	C	546	CA
100158	158	I	#N/A	165	Avenues Mall	NULL	OAKVILLE	L6L 2X5	1	43:50.9	1	43:50.9	NULL	43.4332	-79.7027	America/Toronto	C	544	CA
100159	159	A	#N/A	170	11 MOUNTAINVIEW RD.  N.	NULL	GEORGETOWN	L7G 4T3	1	26:39.5	1598866	26:39.0	NULL	43.651352	-79.903885	America/Toronto	C	544	CA
100160	160	A	#N/A	175	"1320 SECOND STREET  EAST, EASTCOURT MALL"	NULL	CORNWALL	K6H 2B7	1	32:40.9	1598866	32:41.0	NULL	45.026264	-74.705334	America/Toronto	C	544	CA
100162	162	A	#N/A	170	304 STONE RD	NULL	GUELPH	N1G 3E1	1	07:52.5	1598866	07:52.0	NULL	43.518675	-80.234864	America/Toronto	C	544	CA
100163	163	A	#N/A	170	100 PEMBROKE ST E	NULL	PEMBROKE	K8A 8A3	1	26:10.2	1598866	26:10.0	NULL	45.825651	-77.110858	America/Toronto	C	544	CA
100164	164	A	#N/A	175	529 HWY #8	NULL	STONEY CREEK	L8G 4L6	1	58:05.6	1598866	58:05.0	NULL	43.216053	-79.71339	America/Toronto	C	544	CA
100165	165	A	#N/A	170	257 MAIN ST E	NULL	HAMILTON	L8H 1H4	1	56:10.9	1598866	56:11.0	NULL	43.253048	-79.859811	America/Toronto	C	544	CA
